accurate,author_birth_year,gutenberg_id,id,period_start_year
True,1564,100,3195,1500
True,1564,811,3200,1500
True,1564,1094,3205,1500
True,1564,1104,3210,1500
True,1564,1109,3215,1500
True,1564,1114,3220,1500
True,1564,1119,3225,1500
True,1564,1124,3230,1500
True,1564,1129,3235,1500
True,1564,1134,3240,1500
False,1564,1430,3245,1800
True,1564,1503,3250,1500
True,1564,1513,3253,1500
True,1564,1518,3255,1500
True,1564,1533,3261,1500
True,1564,1548,3269,1500
True,1564,1784,3279,1500
True,1564,1790,3282,1500
False,1558,1992,3290,1700
False,1561,3290,3304,1800
False,1533,3585,3309,1600
True,1533,3590,3314,1500
True,1533,3595,3319,1500
True,1533,3600,3324,1500
False,1553,3841,3329,1700
False,1596,4391,3334,1700
False,1547,5904,3339,1800
False,1547,5909,3344,1800
False,1547,5914,3349,1800
False,1547,5919,3354,1800
False,1547,5924,3359,1800
False,1547,5929,3364,1800
False,1547,5934,3369,1800
True,1547,5939,3374,1500
False,1547,5944,3379,1800
False,1574,6749,3384,1800
False,1553,7566,3389,1900
True,1593,9198,3394,1500
False,1564,10606,3399,1800
True,1579,12039,3404,1500
True,1584,12221,3409,1500
False,1540,13133,3414,1700
True,1579,14549,3419,1500
False,1577,16423,3424,1600
False,1567,17779,3429,1800
False,1527,19553,3434,1800
False,1511,21212,3439,1800
True,1588,22001,3444,1500
False,1564,22791,3449,1700
True,1564,23045,3454,1500
False,1511,25326,3459,1800
False,1515,26752,3464,1700
True,1580,28108,3468,1500
True,1511,28422,3473,1500
False,1511,32362,3478,1700
False,1520,33891,3483,1800
True,1579,35303,3488,1500
False,1587,37659,3493,1800
False,1569,39054,3498,1800
False,1569,42399,3503,1800
False,1562,43451,3508,1600
True,1564,45128,3513,1500
False,1580,46125,3518,1800
True,1564,47518,3523,1500
False,1518,48770,3528,1800
False,1518,49095,3533,1800
True,1564,50095,3538,1500
True,1608,20,3543,1600
False,1608,397,3547,1700
False,1667,623,3552,1700
True,1632,920,3557,1600
False,1632,990,3562,1800
True,1667,1090,3567,1600
False,1608,1745,3572,1500
True,1631,2062,3577,1600
False,1694,2445,3581,1700
False,1667,2643,3586,1700
False,1692,3150,3591,1700
True,1694,3352,3596,1600
True,1694,3357,3601,1600
False,1633,4117,3646,1800
True,1694,3531,3606,1600
True,1632,3800,3611,1600
True,1613,3846,3616,1600
False,1641,3851,3621,1700
False,1652,3856,3626,1700
False,1675,3861,3631,1700
False,1675,3866,3636,1700
False,1675,3871,3641,1800
True,1622,6923,3810,1600
True,1633,4122,3651,1600
True,1633,4127,3656,1600
True,1633,4132,3661,1600
True,1633,4137,3666,1600
True,1633,4142,3671,1600
True,1633,4147,3676,1600
True,1633,4152,3681,1600
True,1633,4157,3686,1600
True,1633,4162,3691,1600
True,1633,4167,3696,1600
True,1633,4172,3701,1600
True,1633,4177,3706,1600
True,1633,4182,3711,1600
True,1633,4187,3716,1600
True,1633,4192,3721,1600
True,1633,4197,3726,1600
